Name	Classification	Specific_Tissue	Specific_Sex
Transcript_273591.0	Others		
Transcript_100836.0	Others		
Transcript_53780.0	Others		
Transcript_273573.0	Others		
Transcript_273549.0	Others		
Transcript_273529.0	Others		
Transcript_193176.0	Tissue Specific	Skin	
Transcript_273519.0	Others		
Transcript_256472.0	Others		
Transcript_273517.0	Others		
Transcript_273513.0	Others		
Transcript_273510.0	Others		
Transcript_273506.0	Others		
Transcript_261014.0	Tissue Specific	Skin	
Transcript_274059.0	Others		
Transcript_101094.0	Others		
Transcript_59730.0	Tissue Specific	Skin	
Transcript_273500.0	Others		
Transcript_273495.0	Tissue Specific	Lung	Female
Transcript_273471.0	Tissue Specific	Skin	
Transcript_92648.0	Others		
Transcript_273469.0	Others		
Transcript_235384.0	Tissue Specific	Brain	Male
Transcript_275412.0	Others		
Transcript_254715.0	Others		
Transcript_199320.0	Tissue Specific	Gonad	Female
Transcript_273451.0	Others		
Transcript_265081.0	Others		
Transcript_209848.0	Others		
Transcript_273445.0	Others		
Transcript_267913.0	Others		
Transcript_229206.0	Others		
Transcript_273437.0	Others		
Transcript_273433.0	Others		
Transcript_247649.0	Others		
Transcript_263856.0	Others		
Transcript_82908.0	Tissue Specific	Kidney	Male
Transcript_27343.0	Tissue Specific	Brain	
Transcript_37409.0	Tissue Specific	Skin	
Transcript_273421.0	Others		
Transcript_273392.0	Others		
Transcript_257706.0	Others		
Transcript_32306.0	Tissue Specific	Liver	
Transcript_51065.0	Tissue Specific	Muscle	
Transcript_27339.0	Others		
Transcript_29839.0	Others		
Transcript_273384.0	Others		
Transcript_273381.0	Others		
Transcript_273377.0	Others		
Transcript_273361.0	Tissue Specific	Skin	
Transcript_100228.0	Tissue Specific	Heart	
Transcript_273348.0	Others		
Transcript_233641.0	Others		
Transcript_273332.0	Others		
Transcript_29057.0	Tissue Specific	Gonad	Female
Transcript_273309.0	Others		
Transcript_273284.0	Tissue Specific	Skin	
Transcript_273283.0	Tissue Specific	Lung	
Transcript_11984.0	Others		
Transcript_273241.0	Tissue Specific	Gonad	
Transcript_82647.0	Others		
Transcript_273234.0	Others		
Transcript_273211.0	Others		
Transcript_273206.0	Others		
Transcript_273204.0	Others		
Transcript_47916.0	Others		
Transcript_273164.0	Others		
Transcript_273161.0	Others		
Transcript_273144.0	Others		
Transcript_195729.0	Tissue Specific	Gonad	
Transcript_82853.0	Not Expressed		
Transcript_273140.0	Others		
Transcript_257979.0	Tissue Specific	Skin	
Transcript_145112.0	Tissue Specific	Brain	
Transcript_20810.0	Others		
Transcript_273107.0	Others		
Transcript_273098.0	Tissue Specific	Lung	
Transcript_273096.0	Others		
Transcript_40856.0	Tissue Specific	Brain	
Transcript_27308.0	Others		
Transcript_38406.0	Others		
Transcript_49741.0	Others		
Transcript_273059.0	Tissue Specific	Brain	
Transcript_92958.0	Others		
Transcript_34328.0	Tissue Specific	Brain	
Transcript_125754.0	Others		
Transcript_27304.0	Others		
Transcript_27299.0	Others		
Transcript_272986.0	Others		
Transcript_96324.0	Tissue Specific	Gonad	Female
Transcript_21225.0	Others		
Transcript_272950.0	Others		
Transcript_20464.0	Others		
Transcript_272866.0	Others		
Transcript_23575.0	Others		
Transcript_272850.0	Tissue Specific	Brain	Male
Transcript_89954.0	Others		
Transcript_243939.0	Others		
Transcript_41077.0	Tissue Specific	Gonad	Female
Transcript_272829.0	Others		
Transcript_272823.0	Others		
Transcript_272815.0	Tissue Specific	Brain	
Transcript_272798.0	Others		
Transcript_235498.0	Tissue Specific	Brain	
Transcript_272777.0	Others		
Transcript_61554.0	Tissue Specific	Brain	
Transcript_272772.0	Tissue Specific	Muscle	
Transcript_272770.0	Others		
Transcript_99861.0	Others		
Transcript_27274.0	Others		
Transcript_272739.0	Others		
Transcript_46372.0	Others		
Transcript_272722.0	Tissue Specific	Brain	
Transcript_272721.0	Others		
Transcript_272717.0	Others		
Transcript_56387.0	Others		
Transcript_94469.0	Others		
Transcript_262299.0	Tissue Specific	Skin	
Transcript_273455.0	Others		
Transcript_60445.0	Tissue Specific	Brain	
Transcript_72016.0	Others		
Transcript_202919.0	Others		
Transcript_272663.0	Others		
Transcript_12794.0	Others		
Transcript_272659.0	Others		
Transcript_229822.0	Tissue Specific	Gonad	
Transcript_105280.0	Tissue Specific	Skin	
Transcript_274595.0	Tissue Specific	Kidney	
Transcript_272648.0	Others		
Transcript_272640.0	Tissue Specific	Brain	
Transcript_27564.0	Others		
Transcript_136620.0	Others		
Transcript_58150.0	Tissue Specific	Gonad	
Transcript_272631.0	Tissue Specific	Brain	Female
Transcript_240377.0	Others		
Transcript_272605.0	Others		
Transcript_272571.0	Others		
Transcript_62735.0	Others		
Transcript_27256.0	Tissue Specific	Skin	
Transcript_272559.0	Others		
Transcript_272532.0	Others		
Transcript_57774.0	Others		
Transcript_272516.0	Others		
Transcript_202854.0	Tissue Specific	Brain	
Transcript_272503.0	Others		
Transcript_273566.0	Tissue Specific	Skin	
Transcript_35238.0	Tissue Specific	Gonad	Female
Transcript_272494.0	Others		
Transcript_272482.0	Others		
Transcript_225470.0	Others		
Transcript_61224.0	Others		
Transcript_272466.0	Tissue Specific	Skin	
Transcript_272453.0	Tissue Specific	Gonad	
Transcript_272432.0	Others		
Transcript_233196.0	Tissue Specific	Brain	
Transcript_31428.0	Tissue Specific	Gonad	Female
Transcript_273958.0	Others		
Transcript_222265.0	Tissue Specific	Brain	
Transcript_272423.0	Others		
Transcript_27242.0	Others		
Transcript_50096.0	Others		
Transcript_272403.0	Others		
Transcript_199811.0	Others		
Transcript_28365.0	Tissue Specific	Skin	
Transcript_50461.0	Tissue Specific	Kidney	
Transcript_225344.0	Others		
Transcript_117585.0	Others		
Transcript_96928.0	Others		
Transcript_272391.0	Others		
Transcript_34192.0	Others		
Transcript_272390.0	Tissue Specific	Gonad	Female
Transcript_272371.0	Others		
Transcript_272370.0	Others		
Transcript_272358.0	Tissue Specific	Gonad	Female
Transcript_71595.0	Others		
Transcript_230514.0	Others		
Transcript_198513.0	Others		
Transcript_272341.0	Others		
Transcript_258998.0	Others		
Transcript_47397.0	Others		
Transcript_92202.0	Others		
Transcript_272339.0	Tissue Specific	Gonad	Female
Transcript_142127.0	Others		
Transcript_18800.0	Others		
Transcript_27233.0	Others		
Transcript_251520.0	Others		
Transcript_272300.0	Others		
Transcript_32711.0	Others		
Transcript_272273.0	Tissue Specific	Lung	Male
Transcript_97649.0	Others		
Transcript_272270.0	Others		
Transcript_116363.0	Tissue Specific	Gonad	
Transcript_272265.0	Others		
Transcript_272253.0	Tissue Specific	Liver	
Transcript_101737.0	Others		
Transcript_50173.0	Others		
Transcript_203577.0	Others		
Transcript_272236.0	Expressed in All		
Transcript_272217.0	Others		
Transcript_272211.0	Others		
Transcript_272196.0	Tissue Specific	Heart	
Transcript_32849.0	Others		
Transcript_272187.0	Others		
Transcript_219317.0	Others		
Transcript_272162.0	Tissue Specific	Brain	
Transcript_272156.0	Tissue Specific	Gonad	Female
Transcript_76127.0	Others		
Transcript_27215.0	Others		
Transcript_162098.0	Tissue Specific	Gonad	Female
Transcript_58262.0	Tissue Specific	Skin	
Transcript_272142.0	Others		
Transcript_270813.0	Others		
Transcript_27212.0	Others		
Transcript_272114.0	Others		
Transcript_49283.0	Others		
Transcript_272110.0	Others		
Transcript_27211.0	Tissue Specific	Gonad	Male
Transcript_256181.0	Others		
Transcript_272106.0	Tissue Specific	Lung	
Transcript_239449.0	Others		
Transcript_94416.0	Tissue Specific	Brain	
Transcript_272092.0	Others		
Transcript_246756.0	Others		
Transcript_58160.0	Tissue Specific	Brain	
Transcript_190986.0	Tissue Specific	Brain	
Transcript_272078.0	Others		
Transcript_272056.0	Tissue Specific	Brain	Male
Transcript_246084.0	Tissue Specific	Brain	Male
Transcript_272046.0	Tissue Specific	Brain	Male
Transcript_272038.0	Tissue Specific	Brain	
Transcript_254729.0	Others		
Transcript_87086.0	Others		
Transcript_272029.0	Others		
Transcript_170976.0	Others		
Transcript_187945.0	Others		
Transcript_255733.0	Others		
Transcript_271988.0	Others		
Transcript_271984.0	Tissue Specific	Brain	
Transcript_174622.0	Tissue Specific	Brain	
Transcript_27196.0	Others		
Transcript_255363.0	Tissue Specific	Brain	
Transcript_66890.0	Tissue Specific	Kidney	
Transcript_271955.0	Tissue Specific	Brain	
Transcript_278703.0	Others		
Transcript_34401.0	Others		
Transcript_27195.0	Others		
Transcript_102239.0	Others		
Transcript_271926.0	Tissue Specific	Brain	
Transcript_27192.0	Others		
Transcript_165173.0	Tissue Specific	Gonad	Female
Transcript_27189.0	Others		
Transcript_271875.0	Tissue Specific	Gonad	
Transcript_271874.0	Tissue Specific	Brain	
Transcript_271863.0	Others		
Transcript_57264.0	Others		
Transcript_271860.0	Others		
Transcript_62759.0	Others		
Transcript_98449.0	Others		
Transcript_271850.0	Others		
Transcript_167270.0	Others		
Transcript_271808.0	Others		
Transcript_73901.0	Tissue Specific	Kidney	
Transcript_27180.0	Others		
Transcript_271797.0	Tissue Specific	Brain	
Transcript_271729.0	Others		
Transcript_230973.0	Others		
Transcript_271721.0	Others		
Transcript_271712.0	Others		
Transcript_91195.0	Tissue Specific	Brain	Male
Transcript_71002.0	Others		
Transcript_96274.0	Others		
Transcript_52170.0	Tissue Specific	Liver	
Transcript_107182.0	Others		
Transcript_271651.0	Others		
Transcript_173042.0	Others		
Transcript_70320.0	Tissue Specific	Kidney	
Transcript_238295.0	Others		
Transcript_271582.0	Others		
Transcript_27157.0	Others		
Transcript_231178.0	Others		
Transcript_20170.0	Others		
Transcript_95104.0	Tissue Specific	Skin	
Transcript_271564.0	Others		
Transcript_271562.0	Tissue Specific	Brain	
Transcript_237433.0	Others		
Transcript_68453.0	Others		
Transcript_271554.0	Others		
Transcript_143547.0	Tissue Specific	Brain	
Transcript_273720.0	Others		
Transcript_271533.0	Others		
Transcript_92850.0	Others		
Transcript_271504.0	Tissue Specific	Brain	Male
Transcript_2715.0	Others		
Transcript_271487.0	Tissue Specific	Lung	
Transcript_243084.0	Others		
Transcript_176751.0	Others		
Transcript_1150.0	Others		
Transcript_81657.0	Others		
Transcript_271482.0	Tissue Specific	Brain	
Transcript_271467.0	Others		
Transcript_110458.0	Others		
Transcript_271460.0	Others		
Transcript_245982.0	Others		
Transcript_273834.0	Tissue Specific	Muscle	
Transcript_271459.0	Others		
Transcript_204700.0	Others		
Transcript_27145.0	Others		
Transcript_31942.0	Tissue Specific	Brain	Female
Transcript_80957.0	Tissue Specific	Brain	
Transcript_271434.0	Tissue Specific	Skin	
Transcript_66866.0	Others		
Transcript_271407.0	Others		
Transcript_271406.0	Others		
Transcript_83662.0	Others		
Transcript_271403.0	Others		
Transcript_271402.0	Others		
Transcript_271397.0	Others		
Transcript_271388.0	Others		
Transcript_271690.0	Others		
Transcript_102041.0	Tissue Specific	Brain	
Transcript_5815.0	Others		
Transcript_271356.0	Others		
Transcript_252296.0	Others		
Transcript_234221.0	Tissue Specific	Brain	Male
Transcript_156760.0	Others		
Transcript_271318.0	Others		
Transcript_44117.0	Others		
Transcript_271311.0	Tissue Specific	Skin	
Transcript_271309.0	Others		
Transcript_197757.0	Others		
Transcript_271284.0	Tissue Specific	Gonad	
Transcript_271282.0	Tissue Specific	Gonad	Female
Transcript_206983.0	Others		
Transcript_48311.0	Tissue Specific	Gonad	Female
Transcript_96344.0	Tissue Specific	Skin	
Transcript_272378.0	Others		
Transcript_271266.0	Others		
Transcript_70481.0	Tissue Specific	Gonad	Female
Transcript_271240.0	Others		
Transcript_271238.0	Others		
Transcript_202509.0	Others		
Transcript_267719.0	Others		
Transcript_227670.0	Others		
Transcript_271236.0	Others		
Transcript_48417.0	Tissue Specific	Brain	Female
Transcript_271219.0	Not Expressed		
Transcript_12517.0	Others		
Transcript_74922.0	Others		
Transcript_250216.0	Tissue Specific	Skin	
Transcript_27117.0	Tissue Specific	Brain	Male
Transcript_153100.0	Tissue Specific	Brain	Female
Transcript_271167.0	Others		
Transcript_271164.0	Others		
Transcript_27116.0	Tissue Specific	Brain	Female
Transcript_271153.0	Tissue Specific	Brain	Male
Transcript_161194.0	Tissue Specific	Gonad	Female
Transcript_272231.0	Others		
Transcript_71847.0	Tissue Specific	Brain	
Transcript_271136.0	Tissue Specific	Kidney	
Transcript_271101.0	Others		
Transcript_271078.0	Others		
Transcript_99009.0	Others		
Transcript_271073.0	Tissue Specific	Kidney	
Transcript_271072.0	Others		
Transcript_271071.0	Others		
Transcript_271052.0	Others		
Transcript_271009.0	Tissue Specific	Skin	
Transcript_28807.0	Tissue Specific	Brain	
Transcript_248257.0	Tissue Specific	Brain	
Transcript_58718.0	Tissue Specific	Brain	Male
Transcript_268651.0	Others		
Transcript_270953.0	Others		
Transcript_106104.0	Others		
Transcript_83373.0	Others		
Transcript_270950.0	Tissue Specific	Gonad	Female
Transcript_208102.0	Others		
Transcript_64034.0	Others		
Transcript_270921.0	Others		
Transcript_270919.0	Others		
Transcript_270895.0	Others		
Transcript_250533.0	Others		
Transcript_27089.0	Others		
Transcript_228283.0	Others		
Transcript_270883.0	Others		
Transcript_270857.0	Others		
Transcript_229020.0	Others		
Transcript_27085.0	Tissue Specific	Brain	Female
Transcript_27084.0	Others		
Transcript_270816.0	Tissue Specific	Liver	
Transcript_19894.0	Others		
Transcript_270812.0	Others		
Transcript_90653.0	Others		
Transcript_270797.0	Others		
Transcript_257664.0	Others		
Transcript_165346.0	Tissue Specific	Brain	Male
Transcript_270781.0	Tissue Specific	Gonad	Female
Transcript_245909.0	Others		
Transcript_270780.0	Others		
Transcript_270760.0	Others		
Transcript_165108.0	Tissue Specific	Muscle	
Transcript_270748.0	Tissue Specific	Gonad	Female
Transcript_270732.0	Tissue Specific	Kidney	
Transcript_208032.0	Others		
Transcript_271791.0	Tissue Specific	Muscle	
Transcript_67847.0	Tissue Specific	Skin	
Transcript_270706.0	Others		
Transcript_198491.0	Others		
Transcript_270773.0	Others		
Transcript_147276.0	Tissue Specific	Kidney	
Transcript_270688.0	Tissue Specific	Brain	
Transcript_20900.0	Others		
Transcript_175492.0	Others		
Transcript_74010.0	Tissue Specific	Brain	Female
Transcript_270647.0	Others		
Transcript_34979.0	Tissue Specific	Brain	Male
Transcript_145182.0	Tissue Specific	Heart	
Transcript_283638.0	Others		
Transcript_29787.0	Tissue Specific	Brain	
Transcript_270573.0	Tissue Specific	Skin	
Transcript_91527.0	Others		
Transcript_270478.0	Others		
Transcript_261713.0	Others		
Transcript_34852.0	Tissue Specific	Brain	
Transcript_270461.0	Others		
Transcript_270444.0	Others		
Transcript_56833.0	Others		
Transcript_51278.0	Others		
Transcript_162885.0	Tissue Specific	Muscle	
Transcript_270430.0	Tissue Specific	Brain	Male
Transcript_141427.0	Others		
Transcript_270429.0	Others		
Transcript_47561.0	Tissue Specific	Gonad	Male
Transcript_270405.0	Others		
Transcript_270392.0	Others		
Transcript_102482.0	Others		
Transcript_270377.0	Tissue Specific	Muscle	
Transcript_250644.0	Tissue Specific	Gonad	
Transcript_274016.0	Others		
Transcript_270358.0	Others		
Transcript_247269.0	Others		
Transcript_270355.0	Tissue Specific	Brain	Female
Transcript_62387.0	Others		
Transcript_25930.0	Others		
Transcript_270327.0	Others		
Transcript_270324.0	Tissue Specific	Brain	
Transcript_270323.0	Tissue Specific	Brain	
Transcript_13490.0	Tissue Specific	Kidney	
Transcript_270310.0	Tissue Specific	Brain	Male
Transcript_270307.0	Tissue Specific	Liver	
Transcript_237257.0	Others		
Transcript_270582.0	Tissue Specific	Brain	
Transcript_27029.0	Others		
Transcript_100464.0	Others		
Transcript_270268.0	Others		
Transcript_270267.0	Tissue Specific	Lung	Female
Transcript_34099.0	Others		
Transcript_270259.0	Tissue Specific	Brain	Male
Transcript_270210.0	Tissue Specific	Gonad	Female
Transcript_228212.0	Others		
Transcript_270206.0	Others		
Transcript_249509.0	Others		
Transcript_270205.0	Others		
Transcript_62000.0	Tissue Specific	Liver	
Transcript_155424.0	Others		
Transcript_270180.0	Others		
Transcript_5891.0	Others		
Transcript_270154.0	Tissue Specific	Brain	Male
Transcript_270140.0	Tissue Specific	Kidney	
Transcript_27014.0	Tissue Specific	Brain	Male
Transcript_92947.0	Others		
Transcript_270117.0	Others		
Transcript_254973.0	Not Expressed		
Transcript_29164.0	Others		
Transcript_27011.0	Tissue Specific	Brain	
Transcript_201758.0	Tissue Specific	Brain	
Transcript_35471.0	Others		
Transcript_270073.0	Others		
Transcript_27007.0	Others		
Transcript_255327.0	Others		
Transcript_27006.0	Others		
Transcript_21674.0	Others		
Transcript_270056.0	Others		
Transcript_88696.0	Others		
Transcript_270039.0	Tissue Specific	Gonad	Male
Transcript_220111.0	Others		
Transcript_58187.0	Not Expressed		
Transcript_270038.0	Others		
Transcript_232365.0	Others		
Transcript_270026.0	Tissue Specific	Skin	
Transcript_269999.0	Others		
Transcript_249507.0	Others		
Transcript_269998.0	Others		
Transcript_24603.0	Others		
Transcript_26464.0	Tissue Specific	Brain	
Transcript_269993.0	Others		
Transcript_269981.0	Tissue Specific	Gonad	
Transcript_269972.0	Tissue Specific	Skin	
Transcript_271779.0	Others		
Transcript_269952.0	Others		
Transcript_26995.0	Others		
Transcript_269918.0	Others		
Transcript_52422.0	Tissue Specific	Skin	
Transcript_26991.0	Others		
Transcript_34482.0	Tissue Specific	Gonad	Female
Transcript_269904.0	Others		
Transcript_269883.0	Others		
Transcript_269880.0	Tissue Specific	Brain	Male
Transcript_32280.0	Others		
Transcript_50843.0	Others		
Transcript_269865.0	Others		
Transcript_269858.0	Others		
Transcript_189125.0	Others		
Transcript_75708.0	Tissue Specific	Heart	
Transcript_269839.0	Others		
Transcript_117485.0	Others		
Transcript_40873.0	Others		
Transcript_269820.0	Tissue Specific	Brain	
Transcript_269796.0	Others		
Transcript_235638.0	Tissue Specific	Brain	Female
Transcript_216664.0	Others		
Transcript_274425.0	Others		
Transcript_30354.0	Others		
Transcript_52414.0	Others		
Transcript_163539.0	Tissue Specific	Brain	Male
Transcript_94248.0	Others		
Transcript_26969.0	Others		
Transcript_269683.0	Others		
Transcript_269676.0	Others		
Transcript_65828.0	Tissue Specific	Brain	
Transcript_269669.0	Others		
Transcript_269652.0	Tissue Specific	Brain	
Transcript_239501.0	Others		
Transcript_269625.0	Others		
Transcript_223014.0	Expressed in All		
Transcript_269622.0	Others		
Transcript_46806.0	Tissue Specific	Gonad	
Transcript_269612.0	Tissue Specific	Skin	
Transcript_36401.0	Others		
Transcript_67394.0	Others		
Transcript_269602.0	Others		
Transcript_269599.0	Tissue Specific	Gonad	Female
Transcript_258871.0	Tissue Specific	Kidney	
Transcript_269593.0	Tissue Specific	Gonad	Female
Transcript_26959.0	Tissue Specific	Heart	
Transcript_92899.0	Tissue Specific	Liver	
Transcript_269589.0	Others		
Transcript_78182.0	Tissue Specific	Brain	
Transcript_269562.0	Others		
Transcript_273828.0	Tissue Specific	Gonad	
Transcript_269555.0	Others		
Transcript_269553.0	Others		
Transcript_269548.0	Others		
Transcript_269514.0	Tissue Specific	Skin	
Transcript_77848.0	Others		
Transcript_162144.0	Tissue Specific	Brain	
