# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
.GO:0008152	BP	p	metabolic process	20/256	18686/59161	5.005361970719156e-20	1	20	1.6247404956954381e-16	1.583787269082092e-16	1.618233525133503e-16	1.1605289254967416e-17	Transcript_101139.0, Transcript_10586.0, Transcript_12318.0, Transcript_15996.0, Transcript_16839.0, Transcript_17471.0, Transcript_186108.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219251.0, Transcript_219287.0, Transcript_219303.0, Transcript_219867.0, Transcript_223545.0, Transcript_224200.0, Transcript_274399.0, Transcript_288197.0, Transcript_5968.0
..GO:0071704	BP	p	organic substance metabolic process	19/256	18234/59161	9.335148772184458e-20	2	19	3.030189291451075e-16	2.9538103071991845e-16	3.0171200831700165e-16	2.0201261943007164e-17	Transcript_101139.0, Transcript_10586.0, Transcript_12318.0, Transcript_15996.0, Transcript_16839.0, Transcript_17471.0, Transcript_186108.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219251.0, Transcript_219287.0, Transcript_219867.0, Transcript_223545.0, Transcript_224200.0, Transcript_274399.0, Transcript_288197.0, Transcript_5968.0
...GO:0030154	BP	p	cell differentiation	6/256	12765/59161	2.1329196367519436e-19	3	6	6.923457140896809e-16	6.748944404869033e-16	6.89146334634553e-16	4.327160713060505e-17	Transcript_11157.0, Transcript_209775.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_5968.0
.....GO:0019219	BP	p	regulation of nucleobase-containing compound metabolic process	5/256	12254/59161	2.391536921106919e-19	5	5	7.76292884591306e-16	7.567256376954329e-16	7.724664255175349e-16	4.566428732890035e-17	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_5968.0, Transcript_86062.0
......GO:2001141	BP	p	regulation of RNA biosynthetic process	4/256	11574/59161	6.641358687576021e-19	7	4	2.1557850299871763e-15	2.1014462890641622e-15	2.1444947202182973e-15	1.0369890963541487e-16	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_86062.0
.......GO:1903506	BP	p	regulation of nucleic acid-templated transcription	4/256	11574/59161	6.641358687576021e-19	8	4	2.1557850299871763e-15	2.1014462890641622e-15	2.1444947202182973e-15	1.0369890963541487e-16	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_86062.0
......GO:0006355	BP	p	regulation of transcription, DNA-templated	4/256	11574/59161	6.641358687576021e-19	9	4	2.1557850299871763e-15	2.1014462890641622e-15	2.1444947202182973e-15	1.0369890963541487e-16	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_86062.0
.....GO:0051252	BP	p	regulation of RNA metabolic process	5/256	12137/59161	6.708801917263439e-19	6	5	2.1776771023437125e-15	2.1227865496066713e-15	2.1642594985091857e-15	1.0369890963541487e-16	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_5968.0, Transcript_86062.0
....GO:0031323	BP	p	regulation of cellular metabolic process	9/256	13929/59161	7.334416749718693e-19	4	9	2.3807516769586876e-15	2.3207424242842415e-15	2.3653494017842785e-15	1.0821598531630398e-16	Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_217895.0, Transcript_219867.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
..GO:0044238	BP	p	primary metabolic process	18/256	17469/59161	8.618230213006882e-19	2	18	2.7974775271420338e-15	2.7269642781534605e-15	2.7785174206734187e-15	1.2162945770182756e-16	Transcript_10586.0, Transcript_12318.0, Transcript_15996.0, Transcript_16839.0, Transcript_17471.0, Transcript_186108.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219251.0, Transcript_219287.0, Transcript_219867.0, Transcript_223545.0, Transcript_224200.0, Transcript_274399.0, Transcript_288197.0, Transcript_5968.0
.......GO:0006357	BP	p	regulation of transcription by RNA polymerase II	4/256	11274/59161	2.9644770587470066e-18	10	4	9.622692532692784e-15	9.380142840008942e-15	9.554509560341602e-15	4.0094552219553263e-16	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_86062.0
...GO:0019222	BP	p	regulation of metabolic process	11/256	14357/59161	4.394446931774753e-18	3	11	1.4264374740540848e-14	1.3904826755619714e-14	1.4158908014178253e-14	5.705749896216339e-16	Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_219867.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
....GO:0080090	BP	p	regulation of primary metabolic process	10/256	13724/59161	1.7193996146903648e-17	4	10	5.581171149284924e-14	5.440492088567169e-14	5.538186158917665e-14	2.1466042881865096e-15	Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_215159.0, Transcript_217895.0, Transcript_219867.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
....GO:0051171	BP	p	regulation of nitrogen compound metabolic process	10/256	13564/59161	2.784991402695139e-17	4	10	9.040082093148421e-14	8.812217685543136e-14	8.967672316678348e-14	3.348178553017934e-15	Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_215159.0, Transcript_217895.0, Transcript_219867.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
....GO:0060255	BP	p	regulation of macromolecule metabolic process	11/256	13841/59161	5.096046933662419e-17	4	11	1.6541768346668212e-13	1.612481635373065e-13	1.6404175079459329e-13	5.670760506418963e-15	Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_219867.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
.....GO:0010468	BP	p	regulation of gene expression	8/256	12567/59161	5.219586645829868e-17	5	8	1.694277825236375e-13	1.6515718399379827e-13	1.6796629826280515e-13	5.670760506418963e-15	Transcript_15996.0, Transcript_17471.0, Transcript_212417.0, Transcript_217895.0, Transcript_219867.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
....GO:0010646	BP	p	regulation of cell communication	5/256	11179/59161	5.415171655507049e-17	4	5	1.757764719377588e-13	1.7134584827346696e-13	1.7420607215766176e-13	5.670760506418963e-15	Transcript_11157.0, Transcript_212417.0, Transcript_220598.0, Transcript_223545.0, Transcript_5968.0
...GO:0023051	BP	p	regulation of signaling	5/256	11180/59161	5.415698573597901e-17	3	5	1.7579357569898788e-13	1.7136252091710436e-13	1.741688661269085e-13	5.670760506418963e-15	Transcript_11157.0, Transcript_212417.0, Transcript_220598.0, Transcript_223545.0, Transcript_5968.0
....GO:0009889	BP	p	regulation of biosynthetic process	7/256	11974/59161	1.0660632603743745e-16	4	7	3.46044134317522e-13	3.373217421025986e-13	3.4273933821036143e-13	1.0813879197422562e-14	Transcript_15996.0, Transcript_17471.0, Transcript_217895.0, Transcript_219867.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
...GO:0007166	BP	p	cell surface receptor signaling pathway	5/256	11016/59161	1.4511188631809414e-16	5	5	4.710331829885336e-13	4.591603154527993e-13	4.663896026263546e-13	1.4273732817834352e-14	Transcript_209775.0, Transcript_217895.0, Transcript_218429.0, Transcript_220598.0, Transcript_5968.0
......GO:2000112	BP	p	regulation of cellular macromolecule biosynthetic process	7/256	11840/59161	1.7684494154061794e-16	6	7	5.740386802408458e-13	5.595694550205641e-13	5.682027971700054e-13	1.594551889557905e-14	Transcript_15996.0, Transcript_17471.0, Transcript_217895.0, Transcript_219867.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
.....GO:0031326	BP	p	regulation of cellular biosynthetic process	7/256	11840/59161	1.7684494154061794e-16	5	7	5.740386802408458e-13	5.595694550205641e-13	5.682027971700054e-13	1.594551889557905e-14	Transcript_15996.0, Transcript_17471.0, Transcript_217895.0, Transcript_219867.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
.....GO:0010556	BP	p	regulation of macromolecule biosynthetic process	7/256	11840/59161	1.7684494154061794e-16	5	7	5.740386802408458e-13	5.595694550205641e-13	5.682027971700054e-13	1.594551889557905e-14	Transcript_15996.0, Transcript_17471.0, Transcript_217895.0, Transcript_219867.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
..GO:0006807	BP	p	nitrogen compound metabolic process	16/256	15075/59161	1.5642096475260518e-15	2	16	5.077424515869564e-12	4.949442898274958e-12	5.021112968558626e-12	1.3722768961809634e-13	Transcript_10586.0, Transcript_12318.0, Transcript_15996.0, Transcript_16839.0, Transcript_17471.0, Transcript_186108.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219251.0, Transcript_219287.0, Transcript_219867.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0
..GO:0044237	BP	p	cellular metabolic process	20/256	16313/59161	2.90606937107763e-15	2	20	9.433101178517987e-12	9.195330327570425e-12	9.325576611788115e-12	2.482395046978418e-13	Transcript_101139.0, Transcript_10586.0, Transcript_12318.0, Transcript_15996.0, Transcript_16839.0, Transcript_17471.0, Transcript_186108.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219251.0, Transcript_219287.0, Transcript_219303.0, Transcript_219867.0, Transcript_223545.0, Transcript_224200.0, Transcript_274399.0, Transcript_288197.0, Transcript_5968.0
.GO:0051179	BP	p	localization	9/256	12028/59161	4.476303997604e-15	1	9	1.4530082776222583e-11	1.416383735166288e-11	1.4359983224313631e-11	3.725662250313483e-13	Transcript_10953.0, Transcript_11157.0, Transcript_15996.0, Transcript_215159.0, Transcript_219287.0, Transcript_223545.0, Transcript_288197.0, Transcript_5968.0, Transcript_86062.0
.GO:0023052	BP	p	signaling	3/256	9165/59161	5.750230683221681e-15	1	3	1.8665248797737576e-11	1.8194772333444708e-11	1.8440989801091933e-11	4.565547053588936e-13	Transcript_10953.0, Transcript_212417.0, Transcript_5968.0
..GO:0007267	BP	p	cell-cell signaling	3/256	9139/59161	5.766710696153617e-15	3	3	1.871874291971464e-11	1.8246918082001147e-11	1.8488074491868497e-11	4.565547053588936e-13	Transcript_10953.0, Transcript_212417.0, Transcript_5968.0
..GO:0007154	BP	p	cell communication	3/256	9202/59161	5.943652014412132e-15	2	3	1.929309443878178e-11	1.8806792490429146e-11	1.9049404706190882e-11	4.593593913995662e-13	Transcript_10953.0, Transcript_212417.0, Transcript_5968.0
...GO:0009888	BP	p	tissue development	6/256	10553/59161	8.73693911522372e-15	3	6	2.8360104368016194e-11	2.764525926872889e-11	2.79931529251768e-11	6.595373108840975e-13	Transcript_11157.0, Transcript_186108.0, Transcript_209775.0, Transcript_220598.0, Transcript_274399.0, Transcript_5968.0
...GO:0007186	BP	p	G protein-coupled receptor signaling pathway	1/256	7814/59161	1.2117897178164207e-14	5	1	3.933469424032101e-11	3.834322350929757e-11	3.8813624661659954e-11	8.939703236436594e-13	Transcript_212417.0
..GO:0009653	BP	p	anatomical structure morphogenesis	8/256	11176/59161	3.587779590717941e-14	2	8	1.1645932551470437e-10	1.1352385048858353e-10	1.1488070249478846e-10	2.5879850114378744e-12	Transcript_10656.0, Transcript_11157.0, Transcript_209775.0, Transcript_215159.0, Transcript_217895.0, Transcript_221763.0, Transcript_274399.0, Transcript_5968.0
...GO:0048583	BP	p	regulation of response to stimulus	7/256	10622/59161	7.224731005653774e-14	3	7	2.345147684435215e-10	2.2860358663837233e-10	2.312636394909773e-10	5.0981471400765545e-12	Transcript_11157.0, Transcript_15996.0, Transcript_209775.0, Transcript_212417.0, Transcript_220598.0, Transcript_223545.0, Transcript_5968.0
....GO:0009966	BP	p	regulation of signal transduction	5/256	9628/59161	9.532290972528458e-14	5	5	3.0941816496827374e-10	3.016189673352957e-10	3.0503331112091063e-10	6.58336521209093e-12	Transcript_11157.0, Transcript_212417.0, Transcript_220598.0, Transcript_223545.0, Transcript_5968.0
...GO:0043170	BP	p	macromolecule metabolic process	17/256	14221/59161	2.210740935748776e-13	3	17	7.176065077440527e-10	6.995185103015596e-10	7.072160253460335e-10	1.4950135578001098e-11	Transcript_10586.0, Transcript_12318.0, Transcript_15996.0, Transcript_16839.0, Transcript_17471.0, Transcript_186108.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219251.0, Transcript_219287.0, Transcript_219867.0, Transcript_223545.0, Transcript_274399.0, Transcript_288197.0, Transcript_5968.0
....GO:0048522	BP	p	positive regulation of cellular process	12/256	12257/59161	3.483394093617358e-13	4	12	1.1307097227881943e-09	1.102209041212311e-09	1.113989431138831e-09	2.2904528583325238e-11	Transcript_10656.0, Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_209775.0, Transcript_215159.0, Transcript_217895.0, Transcript_219867.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
...GO:0048518	BP	p	positive regulation of biological process	12/256	12342/59161	3.528115924726623e-13	3	12	1.1452264291662617e-09	1.116359839331456e-09	1.1279386611351012e-09	2.2904528583325238e-11	Transcript_10656.0, Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_209775.0, Transcript_215159.0, Transcript_217895.0, Transcript_219867.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
........GO:0045944	BP	p	positive regulation of transcription by RNA polymerase II	4/256	8728/59161	5.806494486207311e-13	11	4	1.884788110222893e-09	1.8372801206081827e-09	1.8557556377918567e-09	3.4972626431594616e-11	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_86062.0
........GO:1903508	BP	p	positive regulation of nucleic acid-templated transcription	4/256	8730/59161	5.817997003407607e-13	9	4	1.888521827306109e-09	1.8409197255779726e-09	1.8588500425887304e-09	3.4972626431594616e-11	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_86062.0
.......GO:0045893	BP	p	positive regulation of transcription, DNA-templated	4/256	8730/59161	5.817997003407607e-13	10	4	1.888521827306109e-09	1.8409197255779726e-09	1.8588500425887304e-09	3.4972626431594616e-11	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_86062.0
.......GO:1902680	BP	p	positive regulation of RNA biosynthetic process	4/256	8730/59161	5.817997003407607e-13	8	4	1.888521827306109e-09	1.8409197255779726e-09	1.8588500425887304e-09	3.4972626431594616e-11	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_86062.0
...GO:0050877	BP	p	nervous system process	1/256	7003/59161	7.649951992456182e-13	3	1	2.4831744167512767e-09	2.4205834953831537e-09	2.4418646759920132e-09	4.514862575911412e-11	Transcript_217895.0
.....GO:0098916	BP	p	anterograde trans-synaptic signaling	3/256	8089/59161	8.354712599284946e-13	6	3	2.7119397097278933e-09	2.6435825278958e-09	2.6659887904318263e-09	4.5967177014215043e-11	Transcript_10953.0, Transcript_212417.0, Transcript_5968.0
......GO:0007268	BP	p	chemical synaptic transmission	3/256	8089/59161	8.354712599284946e-13	7	3	2.7119397097278933e-09	2.6435825278958e-09	2.6659887904318263e-09	4.5967177014215043e-11	Transcript_10953.0, Transcript_212417.0, Transcript_5968.0
....GO:0099537	BP	p	trans-synaptic signaling	3/256	8094/59161	8.355093788782155e-13	5	3	2.7120634438386874e-09	2.6437031431632514e-09	2.6644394092426293e-09	4.5967177014215043e-11	Transcript_10953.0, Transcript_212417.0, Transcript_5968.0
...GO:0099536	BP	p	synaptic signaling	3/256	8094/59161	8.355093788782155e-13	4	3	2.7120634438386874e-09	2.6437031431632514e-09	2.6644394092426293e-09	4.5967177014215043e-11	Transcript_10953.0, Transcript_212417.0, Transcript_5968.0
....GO:0045595	BP	p	regulation of cell differentiation	4/256	8583/59161	8.914248156537411e-13	4	4	2.8935649516120435e-09	2.820629721956749e-09	2.840970887488473e-09	4.822608252686739e-11	Transcript_209775.0, Transcript_215159.0, Transcript_217895.0, Transcript_5968.0
.......GO:0045892	BP	p	negative regulation of transcription, DNA-templated	1/256	6828/59161	1.1331883811636047e-12	10	1	3.6783294852570606e-09	3.585613472227665e-09	3.6103381823872444e-09	5.838618230566764e-11	Transcript_217895.0
........GO:1903507	BP	p	negative regulation of nucleic acid-templated transcription	1/256	6828/59161	1.1331883811636047e-12	9	1	3.6783294852570606e-09	3.585613472227665e-09	3.6103381823872444e-09	5.838618230566764e-11	Transcript_217895.0
.......GO:1902679	BP	p	negative regulation of RNA biosynthetic process	1/256	6828/59161	1.1331883811636047e-12	8	1	3.6783294852570606e-09	3.585613472227665e-09	3.6103381823872444e-09	5.838618230566764e-11	Transcript_217895.0
......GO:0051253	BP	p	negative regulation of RNA metabolic process	1/256	6910/59161	1.1979789898878787e-12	7	1	3.888639801176054e-09	3.790622704035212e-09	3.813167124813118e-09	6.075999689337585e-11	Transcript_217895.0
..GO:0051234	BP	p	establishment of localization	8/256	10364/59161	1.2329461842470057e-12	2	8	4.0021433140657805e-09	3.901265246144005e-09	3.923234758273973e-09	6.157143560101202e-11	Transcript_10953.0, Transcript_11157.0, Transcript_15996.0, Transcript_215159.0, Transcript_219287.0, Transcript_223545.0, Transcript_288197.0, Transcript_5968.0
...GO:0006810	BP	p	transport	8/256	10330/59161	1.2533851567859943e-12	3	8	4.068488218927337e-09	3.96593786061172e-09	3.987018183736247e-09	6.164376089283844e-11	Transcript_10953.0, Transcript_11157.0, Transcript_15996.0, Transcript_215159.0, Transcript_219287.0, Transcript_223545.0, Transcript_288197.0, Transcript_5968.0
...GO:0035556	BP	p	intracellular signal transduction	5/256	9050/59161	1.3770086576979916e-12	5	5	4.469770102887681e-09	4.3571050290386e-09	4.3788875314796134e-09	6.67129866102639e-11	Transcript_11157.0, Transcript_186108.0, Transcript_212417.0, Transcript_223545.0, Transcript_5968.0
......GO:0045935	BP	p	positive regulation of nucleobase-containing compound metabolic process	5/256	8841/59161	3.2330302914517275e-12	6	5	1.0494416326052308e-08	1.0229893953947795e-08	1.0277803296525042e-08	1.543296518537104e-10	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_5968.0, Transcript_86062.0
...GO:0045165	BP	p	cell fate commitment	0/256	5807/59161	4.858542847447896e-12	3	0	1.5770830082815872e-08	1.537331036814557e-08	1.5440449169189414e-08	2.2856275482341845e-10	
......GO:0051254	BP	p	positive regulation of RNA metabolic process	5/256	8765/59161	5.119225074319974e-12	7	5	1.6617004591242636e-08	1.619815619270568e-08	1.6263778061114557e-08	2.373857798748948e-10	Transcript_15996.0, Transcript_217895.0, Transcript_219867.0, Transcript_5968.0, Transcript_86062.0
..GO:0065008	BP	p	regulation of biological quality	7/256	9611/59161	5.655337615177871e-12	2	7	1.835722589886737e-08	1.789451346311503e-08	1.796135226580492e-08	2.5855247744883617e-10	Transcript_10953.0, Transcript_11157.0, Transcript_209775.0, Transcript_215159.0, Transcript_217895.0, Transcript_5968.0, Transcript_86062.0
...GO:1901360	BP	p	organic cyclic compound metabolic process	11/256	11198/59161	6.490094407159727e-12	3	11	2.1066846445640474e-08	2.0535835284902715e-08	2.0606049742732134e-08	2.9089254218320453e-10	Transcript_10586.0, Transcript_12318.0, Transcript_15996.0, Transcript_16839.0, Transcript_186108.0, Transcript_212417.0, Transcript_218429.0, Transcript_219251.0, Transcript_219287.0, Transcript_219867.0, Transcript_5968.0
....GO:0007600	BP	p	sensory perception	1/256	6479/59161	6.616547099371587e-12	4	1	2.147731188456017e-08	2.0935954527502716e-08	2.1000920493405415e-08	2.9089254218320453e-10	Transcript_217895.0
.....GO:0007265	BP	p	Ras protein signal transduction	1/256	6461/59161	6.631561343671329e-12	7	1	2.1526048121557135e-08	2.0983462318379632e-08	2.1041944143469126e-08	2.9089254218320453e-10	Transcript_11157.0
...GO:0016043	BP	p	cellular component organization	16/256	13060/59161	6.926209083645922e-12	3	16	2.248247468551466e-08	2.1915781183959144e-08	2.1969935213324864e-08	2.9976632914019547e-10	Transcript_10586.0, Transcript_10656.0, Transcript_10953.0, Transcript_15996.0, Transcript_186108.0, Transcript_1973.0, Transcript_209622.0, Transcript_209775.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_219287.0, Transcript_219303.0, Transcript_274399.0, Transcript_288197.0, Transcript_5968.0
..GO:0071840	BP	p	cellular component organization or biogenesis	16/256	13100/59161	7.023358874043153e-12	2	16	2.2797822905144076e-08	2.2223180732933263e-08	2.227107098959084e-08	2.9997135401505365e-10	Transcript_10586.0, Transcript_10656.0, Transcript_10953.0, Transcript_15996.0, Transcript_186108.0, Transcript_1973.0, Transcript_209622.0, Transcript_209775.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_219287.0, Transcript_219303.0, Transcript_274399.0, Transcript_288197.0, Transcript_5968.0
